Province/State,Lat,Long
Sao Paulo,-23.598372,-46.677936
Rio de Janeiro,-22.927798,-43.446042
Ceara,-5.185858,-39.694569
Amazonas,-3.964591,-64.745656
Para,-4.500640,-52.982491
Maranhao,-4.914835,-45.356935
Pernambuco,-8.334601,-38.060361
Bahia,-12.258925,-42.200486
Espirito Santo,-19.544900,-40.606094
Paraiba,-7.104943,-36.878523
Alagoas,-9.677332,-36.677886
Distrito Federal,-15.780691,-47.870248
Minas Gerais,-17.500669,-44.635496
Amapa,1.576398,-51.886887
Rio Grande do Sul,-29.098340,-53.289558
Santa Catarina,-27.098993,-50.570338
Rio Grande do Norte,-5.657596,-36.568922
Sergipe,-10.723363,-37.439203
Acre,-8.860175,-70.841515
Piaui,-7.534386,-42.742138
Rondonia,-10.993000,-62.917417
Parana,-24.626833,-51.704310
Tocantins,-10.696262,-48.327815
Goias,-16.174958,-49.950285
Roraima,1.706996,-61.286394
Mato Grosso,-12.584817,-55.895669
Mato Grosso do Sul,-20.702770,-54.915003
